epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,1153.05,0.45668,0.27889,0.87164,0.99293,0.99254,0.99268,0.89954,0.47675,0.22325,0.86942,0.00314438,0.00104813,0.00314438,0.00104813,0.00314438,0.00104813,0.00314438,0.00104813
77,1167.63,0.45333,0.27317,0.86437,0.9965,0.99262,0.99417,0.91134,0.45823,0.2161,0.86415,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
78,1182.25,0.45379,0.27187,0.86583,0.9904,0.98793,0.99338,0.9066,0.46978,0.22127,0.87213,0.00309487,0.00103162,0.00309487,0.00103162,0.00309487,0.00103162,0.00309487,0.00103162
79,1196.8,0.46131,0.27545,0.86929,0.99313,0.99221,0.99354,0.90492,0.47527,0.22072,0.86986,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
80,1211.66,0.44705,0.27435,0.86498,0.975,0.99272,0.99402,0.90665,0.45831,0.22241,0.86409,0.00304536,0.00101512,0.00304536,0.00101512,0.00304536,0.00101512,0.00304536,0.00101512
81,1226.34,0.44984,0.2686,0.86701,0.98988,0.99478,0.99344,0.90808,0.46069,0.22304,0.86976,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
82,1241.14,0.44131,0.26319,0.86194,0.9939,0.99201,0.99308,0.9117,0.45309,0.21807,0.86427,0.00299585,0.000998616,0.00299585,0.000998616,0.00299585,0.000998616,0.00299585,0.000998616
83,1255.9,0.4414,0.26057,0.86016,0.99672,0.99421,0.99384,0.90965,0.4624,0.21103,0.86729,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
84,1270.63,0.44671,0.2646,0.86688,0.99263,0.99376,0.99451,0.91131,0.45308,0.20855,0.86133,0.00294634,0.000982113,0.00294634,0.000982113,0.00294634,0.000982113,0.00294634,0.000982113
85,1285.41,0.43693,0.26142,0.86106,0.98873,0.99224,0.99448,0.90325,0.46183,0.20865,0.86535,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
